set,number,name,type,subtype,rarity,allegiances,traits,artist,politics_ability,politics_cost,intrigue_ability,intrigue_cost,onePower_ability,onePower_cost,combat_ability,combat_cost,effect,lore,printing_of,printing_note
promo,0,Insane Designer,Character,,P,Precedence,,Chris Arneson,6,1,6,1,6,1,6,1,"You may only bring this card into play if your name appears in the credits to the game. There is no cost. Every time this character takes a point of damage, he generates the following ability symbols: [politics][intrigue][onePower][combat]","His howl beat at the walls, the howl of a man who had discovered his soul damned by his own hand, and he clawed at his face as if to tear away the sight of what he had done.",,
promo,1,Night Raid,Challenge,,P,,,Chris Arneson,,,,,,,,,"Target another player. If you succeed, the target must convert one of his Pattern tokens to a neutral token.","Trollocs poured out of the night, snouted faces and horned heads, towering over the humans, howling and swinging scythe-curved swords, stabbing with hooked spears and barbed tridents, hacking with spiked axes.",,
promo,2,Filled With Power,Event,,P,,,Stephen Daniele,,,,,,,,,Target a character with the One Power ability. The target gains +1 One Power.,The Power boiled in her till she thought she must burst; her knees quivered with the effort of standing.,,
promo,3,Battle Fury,Event,,P,,,Chris Arneson,,,,,,,,,Target a character or troop. The target automatically generates a [damage] when participating in a challenge.,"Perrin could see those misshapen faces, contorted with rage and frenzy, as clearly as if they were right on top of him.",,
promo,4,Friend of the Dark,Character,,P,Dark One,Multiple,Liz Danforth,,,2,,,,,,"Pay any ability symbol generated by a non-Monster character with the Dark One allegiance you control to recruit this character. As an event, rotate and target a non-Monster character you control with the Dark One allegiance. The target gains +1 to all non-zero, non-One Power printed abilities until the end of the turn.","Yes, Great Master. It shall be as you say. Yes. Yes.",,
promo,5,Uncontrolled Rage,Advantage,Character,P,,,Ed Beard,,,,,,,,,"Target a character you control that has the Combat ability. While participating in a non-Last Battle challenge, all [politics] generated by the target are converted into [damage].","They will pay, Lews Therin growled. I am the Lord of the Morning.",,
promo,6,Things Yet to Come,Advantage,Player,P,,,Stephen Daniele,,,,,,,,,"During a Last Battle challenge, as an event, you may discard a limited event, advantage, or challenge from your hand to generate [support][opposition] in the challenge.","On Tremalking, one of the Sea Folk's isles, there be a stone hand fifty feet high sticking out of a hill, clutching a crystal sphere as big as this vessel.",,
promo,7,Power Play,Event,,P,,,Clyde Caldwell,,,,,,,,,"Target a character you control. The target may pay [onePower] to generate either [politics][politics], [intrigue][intrigue], or [combat][combat]. These symbols may only be used for recruiting or for paying the cost of events.","As quiet as they had been, the words ""Aes Sedai"" ran through the crowd in tones ranging from awe to fear to outrage.",,
promo,8,Pitched Battle,Event,,P,,,Mike Raabe,,,,,,,,,"During a card-based challenge, you may pay [damage] generated by a character or troop you control to generate either a [support] or [opposition].","Lan's sword accounted for those who escaped Moiraine's fire. The Warder had blood on both sides of his face, yet he flowed through the forms as coolly as if practicing before a mirror.",,
promo,9,Moment of Transition,Event,Limited,P,,,Mike Raabe,,,,,,,,,Convert a Pattern. Draw 3 cards.,And you really think I can learn? I can become an Aes Sedai?,,
promo,10,Unravel the Pattern,Event,,P,,,Ed Beard,,,,,,,,,Play immediately after any player plays Balefire. Remove half (round up) of the neutral pattern tokens from the game.,"The ripples were incalculable. The Pattern itself nearly unraveled. It could have been the destruction of everything. World, time, Creation itself.",,
premiere,1,A Beginning,Event,,R,,,Tony Moseley,,,,,,,,,Play when you have at least 4 cards in your hand. Discard your entire hand and draw 4 cards.,The wind was not the beginning. There are neither beginnings nor endings to the turning of the Wheel of Time. But it was a beginning.,,
premiere,2,A Murder of Ravens,Event,,C,,,Jim Pavelec,,,,2,,,,,"This card may only be played by a Villain player. Target another player and name a card. If the named card is in the target's hand, he must discard one copy of it. If it is not in his hand, he must show you his hand.","The fox's jaws snapped at them, but they darted in, and darted away untouched, black beaks glistening wetly.",,
premiere,3,A Second Chance,Advantage,Character,F,,,Steve Snyder,,,,,,,,,"Target a character you control. Immediately after you roll the target's dice, you may discard this advantage from play to reroll up to two of those dice, or up to three of those dice if the target is a Ta'veren. The original dice results are ignored.",He spilled the dice onto the tabletop. They bounced oddly. He felt - something - shifting.,,
premiere,4,A Sign of Hope,Event,,C,,,Tina Druce-Hoffman,,,,,,,,,"Target a non-Hero, non-Villain character in your killed pile. Convert one of your Pattern tokens to a neutral token. Move the target to your discard pile.","Thom Merrilin's alive. And he's here, in Cairhein.",,
premiere,5,A Stroke of Luck,Event,Limited,C,,,Jim Houston,,,,,,,,,"If a character you control rolled three or more dice of the same ability but rolled no symbols of that ability, add one to your pool.",She can't have!,,
